,chain,Tg
0,0.0,289.0
0,1.0,387.5
0,2.0,300.0
0,3.0,250.5
0,4.0,280.0
0,5.0,400.0
0,6.0,280.0
0,7.0,263.0
0,8.0,353.5
0,9.0,250.5
0,10.0,288.5
0,11.0,251.5
0,12.0,402.0
0,13.0,322.0
0,14.0,251.0
0,15.0,251.0
0,16.0,350.5
0,17.0,260.5
0,18.0,284.0
0,19.0,272.5
0,20.0,258.0
0,21.0,418.5
0,22.0,360.5
0,23.0,402.5
0,24.0,250.5
1,mean,307.1
