,chain,Tg
0,0.0,355.5
0,1.0,277.0
0,2.0,251.0
0,3.0,290.0
0,4.0,333.0
0,5.0,370.0
0,6.0,321.5
0,7.0,280.0
0,8.0,331.0
0,9.0,290.0
0,10.0,321.5
0,11.0,400.5
0,12.0,260.0
0,13.0,334.0
0,14.0,369.5
0,15.0,220.5
0,16.0,300.0
0,17.0,350.0
0,18.0,270.0
0,19.0,276.0
0,20.0,320.0
0,21.0,227.5
0,22.0,328.5
0,23.0,326.5
0,24.0,286.0
1,mean,307.58
