,chain,Tg
0,0.0,269.5
0,1.0,264.5
0,2.0,229.0
0,3.0,370.0
0,4.0,257.5
0,5.0,280.0
0,6.0,358.5
0,7.0,201.5
0,8.0,267.0
0,9.0,360.0
0,10.0,360.0
0,11.0,200.5
0,12.0,372.5
0,13.0,310.0
0,14.0,320.0
0,15.0,210.0
0,16.0,380.0
0,17.0,210.0
0,18.0,422.0
0,19.0,366.0
0,20.0,200.5
0,21.0,340.0
0,22.0,220.0
0,23.0,333.0
0,24.0,206.0
1,mean,292.32
