chain,best_n_clusters,best_silhouette_score,best_Tg
0,8,0.802036464214325,299.5
1,4,0.8303748965263367,390.0
2,2,0.797879159450531,390.0
3,4,0.909122109413147,342.5
4,2,0.8835834860801697,340.0
5,2,0.9179793000221252,360.0
6,3,0.7224393486976624,390.0
7,5,0.909007728099823,370.0
8,4,0.9169842600822449,
9,5,0.8588153123855591,304.5
10,4,0.8953084349632263,324.0
11,7,0.8270556330680847,320.0
12,5,0.8719246983528137,360.0
13,6,0.757372260093689,342.5
14,2,0.9459730386734009,390.0
15,4,0.8525484204292297,362.0
16,3,0.8941276669502258,370.0
17,5,0.7587423324584961,362.5
18,5,0.8030818700790405,370.0
19,5,0.8256326913833618,320.0
20,5,0.821938693523407,360.0
21,3,0.812713086605072,319.0
22,4,0.8341891765594482,359.5
23,6,0.854003369808197,310.0
24,6,0.8259947896003723,310.0
