chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.9145070910453796,360.0
1,3,0.8307110071182251,380.0
2,4,0.8459540605545044,400.0
3,6,0.8104422688484192,341.5
4,4,0.8216365575790405,370.0
5,4,0.8654277324676514,370.5
6,3,0.9261399507522583,389.5
7,2,0.9346075654029846,380.0
8,3,0.9147155284881592,380.0
9,3,0.8129404783248901,400.0
10,4,0.9245670437812805,390.0
11,6,0.8817973732948303,321.5
12,2,0.8236262202262878,410.0
13,2,0.8267371654510498,400.0
14,5,0.8251850605010986,300.0
15,5,0.7721033096313477,358.0
16,5,0.8702350854873657,392.0
17,2,0.8467546701431274,410.0
18,2,0.8179149627685547,393.5
19,4,0.81281977891922,390.0
20,5,0.9060401916503906,320.5
21,6,0.811586320400238,365.5
22,4,0.8667619824409485,360.0
23,6,0.8220295906066895,360.0
24,4,0.89021897315979,370.0
