,chain,Tg
0,0.0,330.0
0,1.0,361.5
0,2.0,340.0
0,3.0,242.5
0,4.0,325.0
0,5.0,390.0
0,6.0,340.0
0,7.0,360.5
0,8.0,350.0
0,9.0,341.0
0,10.0,380.0
0,11.0,328.5
0,12.0,330.0
0,13.0,330.0
0,14.0,340.5
0,15.0,343.5
0,16.0,210.0
0,17.0,340.0
0,18.0,330.0
0,19.0,263.0
0,20.0,361.0
0,21.0,348.0
0,22.0,339.5
0,23.0,310.0
0,24.0,340.0
1,mean,330.98
