chain,n_clusters,silhouette_score
0,2,0.6895310282707214
0,3,0.6642072796821594
0,4,0.5606904625892639
0,5,0.6255406737327576
0,6,0.6035206317901611
0,7,0.580422580242157
0,8,0.5506370067596436
0,9,0.5146598219871521
0,10,0.5070940852165222
1,2,0.6348204612731934
1,3,0.4362057149410248
1,4,0.49372923374176025
1,5,0.49028265476226807
1,6,0.49470335245132446
1,7,0.5225806832313538
1,8,0.5315682888031006
1,9,0.4944077134132385
1,10,0.5023782849311829
2,2,0.6498043537139893
2,3,0.7479395270347595
2,4,0.7332692742347717
2,5,0.6848004460334778
2,6,0.632564902305603
2,7,0.6355481743812561
2,8,0.6191226243972778
2,9,0.6410966515541077
2,10,0.5822120308876038
3,2,0.6049367189407349
3,3,0.5992513298988342
3,4,0.43356019258499146
3,5,0.44585728645324707
3,6,0.3939453661441803
3,7,0.3691759407520294
3,8,0.36713358759880066
3,9,0.38315221667289734
3,10,0.3930990993976593
4,2,0.7227198481559753
4,3,0.8391721844673157
4,4,0.875973105430603
4,5,0.8793323636054993
4,6,0.8906711339950562
4,7,0.5750543475151062
4,8,0.6436992287635803
4,9,0.6148253083229065
4,10,0.5870932936668396
5,2,0.45037850737571716
5,3,0.493550181388855
5,4,0.5035481452941895
5,5,0.5009645819664001
5,6,0.5254489183425903
5,7,0.5517092943191528
5,8,0.5194097757339478
5,9,0.5130476951599121
5,10,0.5181571841239929
6,2,0.8450125455856323
6,3,0.7164061665534973
6,4,0.6170819997787476
6,5,0.5014240145683289
6,6,0.4838865101337433
6,7,0.5189439654350281
6,8,0.5056251883506775
6,9,0.5393848419189453
6,10,0.5490322709083557
7,2,0.624794065952301
7,3,0.5885425209999084
7,4,0.45666301250457764
7,5,0.45337116718292236
7,6,0.4624975919723511
7,7,0.44924724102020264
7,8,0.4506775438785553
7,9,0.43318474292755127
7,10,0.42425161600112915
8,2,0.3982257843017578
8,3,0.4821396470069885
8,4,0.453336238861084
8,5,0.43158790469169617
8,6,0.44798168540000916
8,7,0.36192160844802856
8,8,0.37439432740211487
8,9,0.383806437253952
8,10,0.36341798305511475
9,2,0.8744120001792908
9,3,0.8553869128227234
9,4,0.8443476557731628
9,5,0.8726282715797424
9,6,0.5919595956802368
9,7,0.577765703201294
9,8,0.5588841438293457
