temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
200.0,-15.376969,-2.6073906,5,-2,-1,glassy
200.5,-15.1546,-3.1340134,5,-2,-1,glassy
201.0,-14.7581215,-3.221656,5,-2,-1,glassy
201.5,-14.877635,-3.1502275,5,-2,-1,glassy
202.0,-14.460131,-3.9481633,5,-2,-1,glassy
202.5,-14.671352,-3.8784118,5,-2,-1,glassy
203.0,-14.394887,-3.9964213,5,-2,-1,glassy
203.5,-14.267386,-3.937559,5,-2,-1,glassy
204.0,-14.397146,-3.928955,5,-2,-1,glassy
204.5,-14.20475,-3.7567153,5,-2,-1,glassy
205.0,-14.30771,-4.0052,5,-2,-1,glassy
205.5,-14.383562,-4.058486,5,-2,-1,glassy
206.0,-13.895088,-3.872207,5,-2,-1,glassy
206.5,-14.346402,-3.9855638,5,-2,-1,glassy
207.0,-13.987391,-3.2881172,5,-2,-1,glassy
207.5,-15.096685,-3.2899632,5,-2,-1,glassy
208.0,-14.672676,-2.9027078,5,-2,-1,glassy
208.5,-15.201633,-3.091552,5,-2,-1,glassy
209.0,-14.839514,-2.1630218,5,-2,-1,glassy
209.5,-15.090956,-2.8660588,5,-2,-1,glassy
210.0,-15.248758,-2.761712,5,-2,-1,glassy
210.5,-15.271544,-2.3796446,5,-2,-1,glassy
211.0,-15.244269,-2.1513731,5,-2,-1,glassy
211.5,-15.097667,-2.2551136,5,-2,-1,glassy
212.0,-15.449628,-2.1981454,5,-2,-1,glassy
212.5,-15.174348,-2.5721133,5,-2,-1,glassy
213.0,-15.634808,-2.4384775,5,-2,-1,glassy
213.5,-15.619819,-2.416861,5,-2,-1,glassy
214.0,-15.663867,-3.1421525,5,-2,-1,glassy
214.5,-15.6339445,-3.1306098,5,-2,-1,glassy
215.0,-15.422813,-3.0843086,5,-2,-1,glassy
215.5,-15.333977,-3.1584387,5,-2,-1,glassy
216.0,-15.463789,-3.321785,5,-2,-1,glassy
216.5,-15.448643,-3.0345292,5,-2,-1,glassy
217.0,-15.34425,-2.6583412,5,-2,-1,glassy
217.5,-14.922391,-2.312911,5,-2,-1,glassy
218.0,-15.632464,-2.6414864,5,-2,-1,glassy
218.5,-15.471374,-2.8782108,5,-2,-1,glassy
219.0,-15.378114,-2.6038952,5,-2,-1,glassy
219.5,-15.585685,-2.6871662,5,-2,-1,glassy
220.0,-14.977188,-2.9772384,5,-2,-1,glassy
220.5,-14.937525,-3.153419,5,-2,-1,glassy
221.0,-15.479934,-3.5880806,5,-2,-1,glassy
221.5,-15.042792,-2.4483552,5,-2,-1,glassy
222.0,-15.200643,-3.2856014,5,-2,-1,glassy
222.5,-14.861341,-2.8629897,5,-2,-1,glassy
223.0,-15.216958,-3.4604363,5,-2,-1,glassy
