chain,best_n_clusters,best_silhouette_score,best_Tg
0,3,0.9172577857971191,369.5
1,3,0.8513880372047424,280.0
2,2,0.769512414932251,389.5
3,2,0.5748563408851624,405.5
4,5,0.8821958303451538,369.5
5,2,0.884878933429718,390.0
6,5,0.5799580812454224,296.5
7,6,0.5545510649681091,250.0
8,2,0.8258419036865234,410.0
9,4,0.4432350695133209,348.5
10,2,0.7359752058982849,390.0
11,7,0.7463647127151489,344.0
12,5,0.7336257100105286,280.0
13,5,0.8263600468635559,330.0
14,3,0.4746064245700836,388.0
15,2,0.6637205481529236,400.5
16,3,0.7210350036621094,347.5
17,3,0.7973620891571045,365.0
18,2,0.7989679574966431,369.5
19,10,0.6307691931724548,260.0
20,4,0.8476940393447876,281.5
21,2,0.6105665564537048,387.5
22,3,0.8450827598571777,370.0
23,2,0.8643311262130737,342.0
24,7,0.5880268812179565,293.0
