chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.7979182004928589,330.0
1,3,0.8502185344696045,347.5
2,5,0.58918696641922,329.5
3,5,0.891975462436676,327.5
4,2,0.7198658585548401,383.5
5,2,0.8745409846305847,363.0
6,2,0.8249244689941406,294.0
7,2,0.8149943947792053,380.0
8,2,0.6088032722473145,340.5
9,5,0.8517699837684631,370.0
10,3,0.8853566646575928,325.5
11,7,0.6323623061180115,
12,2,0.719131350517273,360.5
13,2,0.5727164149284363,380.0
14,2,0.7169979810714722,380.0
15,2,0.7614787817001343,450.0
16,10,0.6816441416740417,270.0
17,6,0.8698108792304993,330.0
18,5,0.8617053031921387,341.5
19,6,0.6425790190696716,269.5
20,2,0.7843648195266724,
21,8,0.6511683464050293,282.5
22,10,0.7832791805267334,303.0
23,3,0.582797110080719,356.5
24,6,0.4572694003582001,430.5
