chain,best_n_clusters,best_silhouette_score,best_Tg
0,6,0.8522942066192627,340.0
1,2,0.7873727083206177,390.0
2,3,0.8218578696250916,380.0
3,2,0.8841873407363892,390.0
4,2,0.8297917246818542,390.0
5,4,0.9202738404273987,360.0
6,2,0.7895238995552063,340.0
7,10,0.8490740656852722,329.5
8,8,0.8346632122993469,350.0
9,6,0.9034344553947449,340.0
10,3,0.8866130113601685,
11,2,0.836868166923523,386.5
12,2,0.9636618494987488,
13,2,0.8318135142326355,410.0
14,2,0.8378850221633911,430.0
15,6,0.8037408590316772,265.0
16,7,0.8773388266563416,360.0
17,3,0.9493287205696106,366.0
18,5,0.903386652469635,370.0
19,3,0.9262511730194092,350.0
20,5,0.728385329246521,358.0
21,10,0.7186809182167053,201.5
22,2,0.9161382913589478,
23,2,0.6369184255599976,460.0
24,3,0.9033963680267334,390.0
