UMAP1,UMAP2,temp
16.586105,10.223167,200.0
17.18094,10.194029,200.5
17.153942,10.863884,201.0
16.334326,10.362363,201.5
17.055035,10.873427,202.0
17.120867,10.663334,202.5
16.643204,10.899845,203.0
16.830719,10.377874,203.5
16.38825,10.946078,204.0
15.86421,9.132334,204.5
16.43014,10.748225,205.0
16.464298,10.60092,205.5
15.897415,10.508562,206.0
16.852161,10.151305,206.5
16.645176,10.972377,207.0
16.65597,10.617523,207.5
15.9753065,10.660558,208.0
16.501944,10.89681,208.5
17.473738,10.687559,209.0
17.283676,10.281458,209.5
16.882626,10.785907,210.0
16.173096,10.608365,210.5
16.844805,10.20627,211.0
16.021729,10.985666,211.5
17.481115,10.990121,212.0
17.107744,9.992155,212.5
17.013382,10.427757,213.0
17.150257,10.785225,213.5
17.196184,9.777046,214.0
17.308887,9.96079,214.5
17.080824,10.8084345,215.0
16.368011,10.05287,215.5
17.501223,10.231531,216.0
16.3531,10.858156,216.5
17.053251,10.276241,217.0
16.062616,10.123882,217.5
17.290863,10.412801,218.0
17.275923,10.277734,218.5
17.070696,10.36452,219.0
16.059898,9.662974,219.5
16.957214,9.660913,220.0
16.373755,10.968533,220.5
17.10228,11.033268,221.0
16.6958,10.342745,221.5
16.34802,9.754295,222.0
16.760334,10.197476,222.5
16.451797,11.146497,223.0
15.993324,9.734547,223.5
15.814137,10.451911,224.0
17.351364,10.448555,224.5
16.5807,11.207832,225.0
17.14112,11.194854,225.5
16.470749,10.680876,226.0
16.626371,10.5120125,226.5
17.522476,10.934186,227.0
16.251286,10.41936,227.5
17.097183,10.575251,228.0
16.781672,10.69447,228.5
16.236475,10.798097,229.0
16.93927,10.853262,229.5
17.14176,11.121824,230.0
17.366945,11.216283,230.5
16.998137,11.267073,231.0
17.495602,11.174327,231.5
16.949697,10.4445,232.0
16.129217,10.032636,232.5
16.79408,10.879079,233.0
17.281757,11.202364,233.5
16.72768,10.305325,234.0
16.955425,10.373765,234.5
16.043806,10.356863,235.0
16.235758,10.927028,235.5
17.617434,10.509255,236.0
16.130842,10.827673,236.5
16.750845,10.36322,237.0
17.167202,11.237285,237.5
17.390165,10.993319,238.0
17.30564,11.35634,238.5
16.843296,11.193887,239.0
16.833199,11.104202,239.5
16.777596,9.73073,240.0
17.082575,10.556972,240.5
16.50119,10.231915,241.0
16.714947,11.322333,241.5
16.457127,10.557829,242.0
16.830761,10.960872,242.5
15.983858,10.618243,243.0
16.428448,10.265269,243.5
15.592393,9.723231,244.0
16.530432,9.415172,244.5
16.437855,10.358605,245.0
17.380598,10.443555,245.5
17.604982,10.726474,246.0
17.341722,10.986338,246.5
16.171412,10.335167,247.0
16.53996,10.982905,247.5
16.96967,11.317361,248.0
15.8435955,10.434784,248.5
17.018667,11.1103,249.0
16.505724,10.724321,249.5
17.329273,10.017333,250.0
16.155165,10.672788,250.5
16.955915,9.576699,251.0
17.57189,11.091666,251.5
15.985736,9.517997,252.0
17.535849,11.142505,252.5
17.469173,10.077807,253.0
16.570251,9.141341,253.5
17.253584,10.0667095,254.0
17.2785,11.399349,254.5
17.371931,10.709979,255.0
15.120932,8.982522,255.5
16.226818,10.938808,256.0
16.790606,10.566772,256.5
17.487528,10.831545,257.0
16.268513,11.128871,257.5
17.278984,10.737597,258.0
17.07736,10.323901,258.5
16.976847,10.9470825,259.0
15.957124,8.816487,259.5
15.323788,9.4021435,260.0
17.404232,9.296077,260.5
16.621767,8.476894,261.0
17.313324,10.170074,261.5
17.739248,10.32572,262.0
16.357698,9.710251,262.5
17.228981,9.519031,263.0
17.670586,9.67873,263.5
16.944725,9.772946,264.0
17.625565,9.449491,264.5
17.240503,10.616921,265.0
16.90132,10.015775,265.5
17.534134,10.557027,266.0
16.101768,9.751312,266.5
15.472761,9.332709,267.0
17.03749,9.311546,267.5
16.555435,10.9302435,268.0
16.688747,9.367117,268.5
16.877926,10.583646,269.0
17.539175,9.526686,269.5
17.040503,9.710292,270.0
16.498632,9.937731,270.5
16.272598,11.077134,271.0
16.262306,9.9434805,271.5
15.095639,8.603749,272.0
16.432558,10.173142,272.5
17.155058,9.922435,273.0
15.810907,10.050067,273.5
17.553452,10.039381,274.0
16.333065,10.203624,274.5
17.19194,10.822921,275.0
14.747647,6.6807876,275.5
16.481129,9.38741,276.0
17.45325,10.011592,276.5
15.455419,10.13514,277.0
17.568449,10.333289,277.5
16.880781,10.786746,278.0
16.896423,10.20735,278.5
16.77625,9.633897,279.0
16.654837,9.784716,279.5
15.243755,8.431825,280.0
17.268883,9.74271,280.5
17.050703,10.143348,281.0
17.245882,10.8355055,281.5
17.208677,10.037176,282.0
16.076,9.638409,282.5
16.711246,10.453003,283.0
17.222397,10.312467,283.5
17.451567,10.360228,284.0
16.4511,9.776829,284.5
16.73014,9.17063,285.0
15.406872,9.985995,285.5
17.085657,9.884127,286.0
17.617775,9.573579,286.5
