chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.8875837922096252,380.0
1,4,0.9045159220695496,340.0
2,4,0.9257227778434753,366.5
3,4,0.7778188586235046,366.5
4,6,0.8473880887031555,360.0
5,5,0.8457968831062317,365.5
6,2,0.9355936050415039,380.0
7,6,0.8169408440589905,340.0
8,5,0.8880243301391602,370.0
9,4,0.8491672873497009,380.0
10,2,0.8833470940589905,340.5
11,5,0.9002544283866882,330.0
12,4,0.8687422275543213,400.0
13,3,0.8495666980743408,390.5
14,5,0.8548826575279236,390.0
15,3,0.9237669706344604,370.0
16,3,0.8274055123329163,399.0
17,4,0.7861730456352234,380.0
18,9,0.8632357716560364,310.0
19,4,0.8436928987503052,311.0
20,6,0.8285369873046875,355.0
21,3,0.8048880696296692,350.0
22,3,0.8509151935577393,390.0
23,2,0.9024666547775269,377.0
24,4,0.7993046045303345,340.0
