UMAP1,UMAP2,Cluster_8,temp,Grid_X,Grid_Y,State_8,Cluster_Change
-10.134457,5.5848007,2,200.0,-2,0,rubbery,False
-9.900425,5.8274245,2,200.5,-1,0,rubbery,False
-9.957073,5.68047,2,201.0,-1,0,rubbery,False
-10.081929,5.6809254,2,201.5,-2,0,rubbery,False
-10.054135,5.8306246,2,202.0,-2,0,rubbery,False
-9.813811,5.461814,2,202.5,-1,0,rubbery,False
-9.496569,5.77128,2,203.0,-1,0,rubbery,False
-10.0285225,5.7528677,2,203.5,-2,0,rubbery,False
-9.605954,5.7254887,2,204.0,-1,0,rubbery,False
-9.400535,5.831274,2,204.5,-1,0,rubbery,False
-9.696717,6.0146875,2,205.0,-1,0,rubbery,False
-9.469788,5.953159,2,205.5,-1,0,rubbery,False
-9.79622,5.812277,2,206.0,-1,0,rubbery,False
-10.108899,5.5444036,2,206.5,-2,0,rubbery,False
-10.080978,5.928269,2,207.0,-2,0,rubbery,False
-9.996968,5.7985516,2,207.5,-1,0,rubbery,False
-9.251509,5.8755693,2,208.0,-1,0,rubbery,False
-10.013644,5.807767,2,208.5,-2,0,rubbery,False
-9.432987,5.653024,2,209.0,-1,0,rubbery,False
-9.575329,5.6328645,2,209.5,-1,0,rubbery,False
-9.542054,5.392688,2,210.0,-1,0,rubbery,False
-9.335019,5.402046,2,210.5,-1,0,rubbery,False
-9.793676,5.175678,2,211.0,-1,0,rubbery,False
-9.560963,5.358876,2,211.5,-1,0,rubbery,False
-9.751557,5.44725,2,212.0,-1,0,rubbery,False
-9.350358,5.7337976,2,212.5,-1,0,rubbery,False
-9.413323,5.0202947,2,213.0,-1,0,rubbery,False
-9.634991,5.099604,2,213.5,-1,0,rubbery,False
-9.632884,5.342474,2,214.0,-1,0,rubbery,False
-9.198634,5.538282,2,214.5,-1,0,rubbery,False
-9.316,5.610353,2,215.0,-1,0,rubbery,False
-9.335772,5.393433,2,215.5,-1,0,rubbery,False
-9.420375,5.4929786,2,216.0,-1,0,rubbery,False
-9.745805,5.5864124,2,216.5,-1,0,rubbery,False
-9.720017,5.5978665,2,217.0,-1,0,rubbery,False
-9.705741,5.0055757,2,217.5,-1,0,rubbery,False
-9.415738,5.791712,2,218.0,-1,0,rubbery,False
-9.8283825,5.7322,2,218.5,-1,0,rubbery,False
-9.684278,5.156052,2,219.0,-1,0,rubbery,False
-9.16753,5.4025507,2,219.5,-1,0,rubbery,False
-8.803378,5.321468,2,220.0,-1,0,rubbery,False
-8.965744,5.0796256,2,220.5,-1,0,rubbery,False
-9.004533,5.043951,2,221.0,-1,0,rubbery,False
-9.034827,5.2248793,2,221.5,-1,0,rubbery,False
-9.301522,4.924665,2,222.0,-1,0,rubbery,False
-9.177512,5.6267467,2,222.5,-1,0,rubbery,False
-9.598691,5.013576,2,223.0,-1,0,rubbery,False
-9.026587,5.2572846,2,223.5,-1,0,rubbery,False
-9.889403,5.096802,2,224.0,-1,0,rubbery,False
-9.915003,5.25193,2,224.5,-1,0,rubbery,False
-9.095266,5.513749,2,225.0,-1,0,rubbery,False
-9.137331,5.6532435,2,225.5,-1,0,rubbery,False
-9.507021,4.9907064,2,226.0,-1,0,rubbery,False
-9.652867,4.5488324,2,226.5,-1,0,rubbery,False
-10.2028265,5.6226125,2,227.0,-2,0,rubbery,False
-9.189109,5.339618,2,227.5,-1,0,rubbery,False
-8.801209,5.0391307,2,228.0,-1,0,rubbery,False
-9.095471,5.2861385,2,228.5,-1,0,rubbery,False
-8.933638,4.9514756,2,229.0,-1,0,rubbery,False
-8.892521,4.9851956,2,229.5,-1,0,rubbery,False
-9.535952,4.751386,2,230.0,-1,0,rubbery,False
-9.182843,5.812033,2,230.5,-1,0,rubbery,False
-9.526637,4.3475695,2,231.0,-1,0,rubbery,False
-10.003852,5.3220367,2,231.5,-2,0,rubbery,False
-8.935158,5.589496,2,232.0,-1,0,rubbery,False
-9.32917,5.6415896,2,232.5,-1,0,rubbery,False
-9.730035,5.10383,2,233.0,-1,0,rubbery,False
-9.904592,5.0743704,2,233.5,-1,0,rubbery,False
-10.1891985,5.325538,2,234.0,-2,0,rubbery,False
-9.462488,5.225472,2,234.5,-1,0,rubbery,False
