UMAP1,UMAP2,Cluster_6,temp,Grid_X,Grid_Y,State_6,Cluster_Change
-0.53722703,6.509241,4,247.5,-1,0,glassy,False
-0.36699474,5.714106,4,248.0,-1,0,glassy,False
-0.049914747,6.3283353,4,248.5,-1,0,glassy,False
0.6627874,6.2285433,4,249.0,0,0,glassy,False
0.30046877,6.8892145,4,249.5,0,0,glassy,False
0.412924,6.5969853,4,250.0,0,0,glassy,False
0.5981185,6.503413,4,250.5,0,0,glassy,False
-0.29902402,6.991785,4,251.0,-1,0,glassy,False
-0.19228452,7.001532,4,251.5,-1,0,glassy,False
0.46318504,5.5163445,4,252.0,0,0,glassy,False
0.5852475,5.535234,4,252.5,0,0,glassy,False
0.8863464,5.438006,4,253.0,0,0,glassy,False
0.64882,5.380337,4,253.5,0,0,glassy,False
0.04296742,6.947358,4,254.0,0,0,glassy,False
0.8943616,5.4198413,4,254.5,0,0,glassy,False
0.86685973,5.7448997,4,255.0,0,0,glassy,False
0.22991829,5.2229,4,255.5,0,0,glassy,False
-0.76555187,6.519786,4,256.0,-1,0,glassy,False
0.27308178,5.387547,4,256.5,0,0,glassy,False
-0.57171047,6.334608,4,257.0,-1,0,glassy,False
0.2555973,5.7903852,4,257.5,0,0,glassy,False
0.2964272,5.19588,4,258.0,0,0,glassy,False
0.57314235,5.0813,4,258.5,0,0,glassy,False
0.31805113,5.3312726,4,259.0,0,0,glassy,False
0.9769825,6.3389616,4,259.5,0,0,glassy,False
-0.8295347,6.294336,4,260.0,-1,0,glassy,False
0.8497996,5.9311996,4,260.5,0,0,glassy,False
0.86869115,5.908754,4,261.0,0,0,glassy,False
-0.75383097,5.5280957,4,261.5,-1,0,glassy,False
0.054692846,6.5775657,4,262.0,0,0,glassy,False
-0.89060825,5.397012,4,262.5,-1,0,glassy,False
-0.26932698,4.7302184,4,263.0,-1,0,glassy,False
-0.903028,5.022187,4,263.5,-1,0,glassy,False
0.5838825,5.99432,4,264.0,0,0,glassy,False
-0.82687753,4.75658,4,264.5,-1,0,glassy,False
-0.79390013,4.8269663,4,265.0,-1,0,glassy,False
-0.06626298,6.2793927,4,265.5,-1,0,glassy,False
-0.8952759,5.0928254,4,266.0,-1,0,glassy,False
-0.78871864,5.3422427,4,266.5,-1,0,glassy,False
0.89878356,5.523469,4,267.0,0,0,glassy,False
-1.0013523,5.1365695,4,267.5,-1,0,glassy,False
-0.054776732,6.1675005,4,268.0,-1,0,glassy,False
0.46783137,5.7352843,4,268.5,0,0,glassy,False
0.61754495,5.9546924,4,269.0,0,0,glassy,False
-0.11117395,4.9952517,4,269.5,-1,0,glassy,False
0.97225755,6.1271935,4,270.0,0,0,glassy,False
-0.88804054,5.0033135,4,270.5,-1,0,glassy,False
-0.48430222,5.784557,4,271.0,-1,0,glassy,False
-0.47888535,6.3592353,4,271.5,-1,0,glassy,False
0.6589664,6.2454286,4,272.0,0,0,glassy,False
-0.5378919,5.603952,4,272.5,-1,0,glassy,False
0.47127512,5.7870655,4,273.0,0,0,glassy,False
-0.50195843,6.652958,4,273.5,-1,0,glassy,False
-0.3275146,6.869228,4,274.0,-1,0,glassy,False
-0.73360676,5.935388,4,274.5,-1,0,glassy,False
-0.8012011,5.8842816,4,275.0,-1,0,glassy,False
-0.5033246,5.53043,4,275.5,-1,0,glassy,False
-0.76702225,5.7641234,4,276.0,-1,0,glassy,False
-0.88661116,5.911154,4,276.5,-1,0,glassy,False
0.4882103,5.2719555,4,277.0,0,0,glassy,False
-0.053062145,5.320246,4,277.5,-1,0,glassy,False
-0.956615,5.9467926,4,278.0,-1,0,glassy,False
0.6953589,5.7066116,4,278.5,0,0,glassy,False
-0.080923915,5.5781937,4,279.0,-1,0,glassy,False
0.47607717,6.4410415,4,279.5,0,0,glassy,False
-0.19752057,5.704217,4,280.0,-1,0,glassy,False
-0.08174863,6.375857,4,280.5,-1,0,glassy,False
-0.18883623,6.057553,4,281.0,-1,0,glassy,False
-0.16152605,5.918057,4,281.5,-1,0,glassy,False
-0.18660809,5.958369,4,282.0,-1,0,glassy,False
0.25390747,6.3752546,4,282.5,0,0,glassy,False
-0.06667737,5.873152,4,283.0,-1,0,glassy,False
-0.10160751,6.621349,4,283.5,-1,0,glassy,False
