chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.7699155807495117,370.0
1,4,0.8539320826530457,326.0
2,4,0.8666348457336426,350.0
3,2,0.8983296751976013,352.5
4,7,0.8099571466445923,280.0
5,3,0.8560397028923035,390.0
6,4,0.9105249047279358,370.5
7,2,0.8505794405937195,370.0
8,6,0.7378264665603638,300.0
9,2,0.7391722202301025,380.5
10,4,0.8290379643440247,357.0
11,7,0.8524681925773621,340.0
12,3,0.83123779296875,370.0
13,5,0.7317593097686768,321.5
14,6,0.83099365234375,370.0
15,4,0.8333160877227783,310.5
16,4,0.8503029942512512,329.0
17,6,0.8817177414894104,349.5
18,3,0.9016007781028748,369.5
19,2,0.8490849137306213,402.5
20,4,0.8201606273651123,368.5
21,4,0.8176352977752686,380.0
22,6,0.8785244822502136,350.0
23,9,0.8687499165534973,281.0
24,7,0.8587881326675415,330.5
