chain,best_n_clusters,best_silhouette_score,best_Tg
0,6,0.8141425848007202,319.5
1,5,0.7013450860977173,350.0
2,8,0.8684567213058472,320.5
3,5,0.8207659721374512,370.0
4,5,0.8305436372756958,360.0
5,6,0.657004177570343,301.5
6,4,0.8162927627563477,360.0
7,8,0.8323029279708862,370.0
8,2,0.8864209651947021,340.5
9,10,0.8497645854949951,311.5
10,6,0.8740696310997009,310.0
11,10,0.8188603520393372,270.0
12,2,0.7616640329360962,368.5
13,4,0.8601309657096863,
14,7,0.8806920051574707,320.0
15,4,0.8941431045532227,380.0
16,4,0.8339142203330994,352.0
17,2,0.9188414216041565,339.0
18,2,0.8261933326721191,380.0
19,5,0.8371004462242126,352.0
20,8,0.8764386177062988,320.0
21,9,0.8380329012870789,290.0
22,9,0.8742205500602722,252.0
23,6,0.8569788932800293,320.0
24,7,0.8900967240333557,332.0
