chain,best_n_clusters,best_silhouette_score,best_Tg
0,7,0.7068626880645752,327.5
1,2,0.8274328112602234,382.0
2,4,0.8677991628646851,290.5
3,4,0.7702524662017822,330.5
4,4,0.5431597828865051,258.5
5,10,0.8157066106796265,281.5
6,2,0.8749465942382812,360.0
7,6,0.750447154045105,331.0
8,2,0.7022674083709717,357.5
9,3,0.7237545847892761,
10,2,0.7938243746757507,380.0
11,2,0.5316544771194458,360.0
12,8,0.6516768336296082,314.5
13,5,0.6283766627311707,231.0
14,2,0.7782666683197021,374.0
15,2,0.5554734468460083,278.0
16,4,0.6073160767555237,310.0
17,2,0.8707801699638367,380.0
18,3,0.5457549095153809,340.0
19,2,0.8848050236701965,
20,2,0.6240361332893372,370.0
21,6,0.8033868670463562,290.5
22,2,0.6598140597343445,208.0
23,7,0.6690382361412048,295.0
24,2,0.5285465717315674,363.5
