,chain,Tg
0,0.0,341.0
0,1.0,430.0
0,2.0,225.5
0,3.0,203.5
0,4.0,204.0
0,5.0,350.0
0,6.0,201.0
0,7.0,203.5
0,8.0,226.0
0,9.0,281.5
0,10.0,333.5
0,11.0,200.5
0,12.0,361.5
0,13.0,360.0
0,14.0,202.5
0,15.0,230.0
0,16.0,261.5
0,17.0,340.0
0,18.0,380.0
0,19.0,314.5
0,20.0,333.5
0,21.0,201.0
0,22.0,201.5
0,23.0,205.5
0,24.0,249.5
1,mean,273.64
