chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.8807646036148071,490.0
1,5,0.8788752555847168,315.0
2,2,0.9211760759353638,480.0
3,2,0.7106322646141052,520.0
4,6,0.9455726742744446,412.0
5,4,0.8186437487602234,431.5
6,3,0.9113200902938843,340.0
7,3,0.8820072412490845,350.0
8,4,0.8383229970932007,428.5
9,2,0.8175263404846191,408.5
10,3,0.9462944269180298,480.0
11,2,0.8866284489631653,470.0
12,3,0.8962053060531616,442.0
13,4,0.897009015083313,267.0
14,2,0.8911638855934143,445.5
15,2,0.9501426815986633,485.0
16,2,0.9470204710960388,488.5
17,5,0.8998587727546692,387.5
18,4,0.9224851727485657,253.5
19,5,0.7862815856933594,428.0
20,4,0.924899160861969,426.0
21,5,0.8331061601638794,430.0
22,3,0.772844135761261,450.0
23,3,0.8759233355522156,490.0
24,4,0.8873128294944763,460.0
