chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.8653062582015991,360.0
1,3,0.7319251894950867,255.5
2,5,0.8730127811431885,330.0
3,2,0.8687269687652588,390.0
4,4,0.8927173614501953,360.0
5,2,0.8999722003936768,356.5
6,4,0.9034507274627686,319.0
7,3,0.9480910897254944,352.5
8,9,0.7318679690361023,312.5
9,5,0.8177068829536438,420.0
10,4,0.8941394686698914,357.5
11,3,0.9442232251167297,350.0
12,5,0.8132869601249695,360.0
13,4,0.8350988626480103,330.0
14,2,0.8931401371955872,380.0
15,4,0.8638327717781067,360.0
16,4,0.8949705958366394,350.0
17,2,0.9321396946907043,
18,2,0.8448813557624817,370.0
19,2,0.7560445070266724,369.5
20,3,0.8732399344444275,321.5
21,9,0.7971574664115906,380.0
22,4,0.8506094813346863,360.0
23,9,0.6850199103355408,420.0
24,6,0.8310050368309021,330.0
