temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
200.0,3.733391,12.952966,2,0,1,glassy
200.5,3.5646565,13.010898,2,0,1,glassy
201.0,4.042325,12.800108,2,0,1,glassy
201.5,3.6952407,12.989099,2,0,1,glassy
202.0,3.840385,13.023493,2,0,1,glassy
202.5,3.8723655,12.889574,2,0,1,glassy
203.0,3.6015935,13.218283,2,0,1,glassy
203.5,2.9145448,12.621569,2,0,1,glassy
204.0,3.6687372,13.121724,2,0,1,glassy
204.5,4.1909027,12.65711,2,0,1,glassy
205.0,4.1760545,13.150123,2,0,1,glassy
205.5,4.2385745,13.074316,2,0,1,glassy
206.0,4.357436,12.607947,2,0,1,glassy
206.5,4.435995,12.622586,2,0,1,glassy
207.0,4.2933974,12.809226,2,0,1,glassy
207.5,3.8944392,12.094814,2,0,1,glassy
208.0,4.2481537,12.225907,2,0,1,glassy
208.5,3.9961915,12.334328,2,0,1,glassy
209.0,3.9622598,11.674706,2,0,1,glassy
209.5,4.0805316,12.271057,2,0,1,glassy
210.0,4.0430775,12.544442,2,0,1,glassy
210.5,3.5387633,12.208005,2,0,1,glassy
211.0,3.6487117,12.392902,2,0,1,glassy
211.5,4.059611,11.825038,2,0,1,glassy
212.0,3.8005803,12.342288,2,0,1,glassy
212.5,3.7239566,12.340699,2,0,1,glassy
213.0,3.7761483,12.2541065,2,0,1,glassy
213.5,3.825117,12.506836,2,0,1,glassy
214.0,4.320297,12.43055,2,0,1,glassy
214.5,3.730122,12.114665,2,0,1,glassy
215.0,3.8044395,12.567389,2,0,1,glassy
215.5,3.865492,12.159843,2,0,1,glassy
216.0,3.8106153,11.87259,2,0,1,glassy
216.5,4.161003,11.89943,2,0,1,glassy
217.0,4.2582345,12.130917,2,0,1,glassy
217.5,3.9248953,11.794728,2,0,1,glassy
218.0,4.5177245,12.379499,2,0,1,glassy
218.5,3.990961,12.08598,2,0,1,glassy
219.0,3.592011,11.99786,2,0,1,glassy
219.5,3.9918776,12.440666,2,0,1,glassy
220.0,3.5010026,12.802263,2,0,1,glassy
220.5,3.5304055,12.822198,2,0,1,glassy
221.0,3.3062422,12.222412,2,0,1,glassy
221.5,3.2836955,12.516085,2,0,1,glassy
222.0,3.197175,12.538136,2,0,1,glassy
222.5,3.2880392,12.291192,2,0,1,glassy
223.0,3.4110708,12.788514,2,0,1,glassy
223.5,3.9549642,13.011942,2,0,1,glassy
224.0,4.0140247,12.558745,2,0,1,glassy
224.5,4.014791,13.033459,2,0,1,glassy
225.0,3.3741698,12.257596,2,0,1,glassy
225.5,3.106604,12.277523,2,0,1,glassy
226.0,3.0489645,12.38146,2,0,1,glassy
226.5,4.4031067,12.93143,2,0,1,glassy
227.0,2.8591945,11.811218,2,0,1,glassy
227.5,2.925066,11.680891,2,0,1,glassy
228.0,3.092686,11.769974,2,0,1,glassy
228.5,3.5331464,11.292989,2,0,1,glassy
229.0,3.6276155,12.100554,2,0,1,glassy
229.5,4.265946,13.2008915,2,0,1,glassy
230.0,3.690152,11.912743,2,0,1,glassy
230.5,4.0965924,13.418285,2,0,1,glassy
231.0,3.3502355,11.840643,2,0,1,glassy
231.5,3.3664124,12.064854,2,0,1,glassy
232.0,4.315599,13.012207,2,0,1,glassy
232.5,3.9639049,13.185106,2,0,1,glassy
233.0,3.5001197,12.526566,2,0,1,glassy
233.5,4.1301546,11.932697,2,0,1,glassy
234.0,4.171654,11.644183,2,0,1,glassy
234.5,3.83519,13.157542,2,0,1,glassy
235.0,3.3722053,11.623554,2,0,1,glassy
235.5,3.118852,11.833737,2,0,1,glassy
236.0,3.1574848,11.875874,2,0,1,glassy
236.5,3.59367,11.383217,2,0,1,glassy
237.0,4.6730256,12.201413,2,0,1,glassy
237.5,4.453761,12.104467,2,0,1,glassy
238.0,3.4429832,11.952066,2,0,1,glassy
238.5,3.7379992,11.296637,2,0,1,glassy
239.0,3.7137332,13.16676,2,0,1,glassy
239.5,4.796795,12.837885,2,0,1,glassy
240.0,4.6251216,12.855451,2,0,1,glassy
240.5,3.2961068,11.329355,2,0,1,glassy
241.0,3.2660518,11.599267,2,0,1,glassy
241.5,3.6195204,11.395183,2,0,1,glassy
242.0,3.6574864,13.468682,2,0,1,glassy
242.5,2.861582,12.310886,2,0,1,glassy
243.0,3.4200704,12.9083605,2,0,1,glassy
243.5,3.6420612,11.517163,2,0,1,glassy
244.0,3.5082645,12.776298,2,0,1,glassy
244.5,3.170314,11.849065,2,0,1,glassy
245.0,3.0860424,12.076083,2,0,1,glassy
245.5,4.024077,12.986994,2,0,1,glassy
246.0,3.0091608,12.379596,2,0,1,glassy
246.5,3.6756315,13.176451,2,0,1,glassy
247.0,3.8802257,13.5302725,2,0,1,glassy
247.5,3.2762222,12.727864,2,0,1,glassy
248.0,3.315813,12.35351,2,0,1,glassy
248.5,3.9600453,12.456558,2,0,1,glassy
249.0,4.1414647,12.693314,2,0,1,glassy
249.5,3.403331,13.002275,2,0,1,glassy
250.0,4.254214,12.566215,2,0,1,glassy
250.5,4.74393,13.059927,2,0,1,glassy
251.0,4.7981186,12.9175825,2,0,1,glassy
251.5,3.4638445,12.803056,2,0,1,glassy
252.0,4.451097,12.974155,2,0,1,glassy
252.5,3.2336607,12.780379,2,0,1,glassy
253.0,3.6978252,11.674851,2,0,1,glassy
253.5,3.3848617,13.458484,2,0,1,glassy
254.0,4.5773644,12.035705,2,0,1,glassy
254.5,4.2962203,13.060228,2,0,1,glassy
255.0,4.9435816,12.416097,2,0,1,glassy
255.5,3.9243863,13.643036,2,0,1,glassy
256.0,4.197185,13.550421,2,0,1,glassy
256.5,5.0633345,12.53726,2,0,1,glassy
257.0,4.885447,12.137394,2,0,1,glassy
257.5,3.5479512,12.322875,2,0,1,glassy
258.0,4.3821716,12.855621,2,0,1,glassy
258.5,4.708411,13.240249,2,0,1,glassy
259.0,4.98162,13.120941,2,0,1,glassy
259.5,5.1878667,12.76628,2,0,1,glassy
260.0,5.3309493,12.7285385,2,0,1,glassy
260.5,5.383787,12.691656,2,0,1,glassy
261.0,5.2673163,12.623585,2,0,1,glassy
261.5,5.071909,12.664469,2,0,1,glassy
262.0,4.6153846,12.435507,2,0,1,glassy
262.5,4.3596263,12.351351,2,0,1,glassy
263.0,3.866969,12.503943,2,0,1,glassy
