chain,best_n_clusters,best_silhouette_score,best_Tg
0,3,0.7553170919418335,
1,3,0.7802188992500305,409.5
2,2,0.7181169986724854,370.0
3,9,0.6146379113197327,273.0
4,2,0.8742006421089172,397.5
5,2,0.7376049160957336,401.5
6,3,0.7656186819076538,273.0
7,3,0.5069295763969421,347.5
8,10,0.8072243332862854,277.5
9,3,0.6979100108146667,360.0
10,3,0.840342104434967,330.0
11,4,0.5589330196380615,360.5
12,4,0.6905621886253357,331.0
13,3,0.5634958744049072,363.5
14,5,0.8616482019424438,370.0
15,4,0.6793058514595032,400.0
16,8,0.8040931224822998,310.0
17,3,0.8228654265403748,360.0
18,8,0.783697783946991,323.0
19,2,0.7599524855613708,400.0
20,2,0.9447619915008545,346.5
21,4,0.4016563296318054,352.0
22,2,0.4732462763786316,419.0
23,3,0.71678227186203,362.0
24,3,0.5865288376808167,380.5
