chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.6409080624580383,221.0
1,4,0.6265267133712769,177.0
2,2,0.8075586557388306,183.0
3,2,0.8334227800369263,241.5
4,2,0.8680799603462219,182.0
5,2,0.8404592871665955,244.5
6,3,0.6151044964790344,300.5
7,2,0.6171283721923828,220.5
8,2,0.8526946306228638,180.0
9,3,0.6027626991271973,180.0
10,3,0.6958835124969482,131.0
11,2,0.5236659646034241,162.0
12,2,0.8388185501098633,240.0
13,2,0.9381869435310364,300.5
14,2,0.8937350511550903,190.0
15,2,0.6745589971542358,220.0
16,2,0.88265061378479,170.0
17,3,0.8052952885627747,190.0
18,2,0.6722205877304077,200.0
19,3,0.7073297500610352,200.0
20,3,0.8662793636322021,170.5
21,2,0.901904821395874,129.5
22,2,0.8563896417617798,277.5
23,2,0.5915847420692444,230.0
24,2,0.7492903470993042,130.0
