chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.8702068328857422,413.5
1,3,0.932775616645813,433.0
2,3,0.896446168422699,489.0
3,4,0.8835975527763367,426.5
4,2,0.9102973937988281,452.0
5,2,0.9372996091842651,417.0
6,3,0.6966229677200317,421.0
7,2,0.8012048602104187,510.0
8,2,0.6678783297538757,461.5
9,5,0.9356829524040222,463.5
10,3,0.6137720942497253,491.5
11,3,0.9504355788230896,310.0
12,5,0.8848928809165955,350.0
13,4,0.8797132968902588,405.0
14,2,0.9136465191841125,482.0
15,5,0.8052372932434082,410.5
16,3,0.9441888928413391,500.0
17,6,0.8752169013023376,321.5
18,3,0.7351726293563843,460.0
19,8,0.8021130561828613,375.0
20,5,0.853484570980072,410.5
21,2,0.9654861688613892,433.5
22,2,0.7710283398628235,490.5
23,3,0.9323460459709167,422.5
24,4,0.9433684945106506,450.0
