chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.8371564745903015,360.0
1,4,0.830297589302063,370.0
2,2,0.8997676968574524,383.0
3,5,0.8710206151008606,350.0
4,5,0.7124894261360168,370.0
5,5,0.854132354259491,370.5
6,2,0.8876872062683105,354.5
7,4,0.8782358765602112,360.0
8,4,0.8379022479057312,370.0
9,3,0.7793989181518555,330.0
10,2,0.7055580019950867,381.5
11,2,0.8765997290611267,380.0
12,5,0.7767459154129028,356.5
13,10,0.7408260107040405,281.0
14,2,0.9294673204421997,370.5
15,6,0.8984092473983765,263.0
16,2,0.8800376057624817,390.0
17,4,0.8809292316436768,350.0
18,4,0.7815060019493103,390.5
19,3,0.8558359742164612,390.0
20,6,0.775053858757019,400.0
21,2,0.8672759532928467,370.5
22,4,0.755906879901886,360.0
23,3,0.8452700972557068,345.0
24,6,0.8614619970321655,258.0
