chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.9012805819511414,370.0
1,7,0.7777701616287231,321.0
2,3,0.7613486051559448,380.0
3,2,0.8715096116065979,380.5
4,7,0.8863720297813416,334.5
5,4,0.8024527430534363,380.0
6,9,0.881446361541748,210.0
7,2,0.902010440826416,390.0
8,3,0.9142971038818359,380.0
9,9,0.7962449193000793,300.0
10,4,0.8531801104545593,370.0
11,6,0.821381151676178,360.0
12,8,0.8201088309288025,300.0
13,2,0.7980159521102905,360.0
14,2,0.7996293902397156,360.0
15,2,0.9137929677963257,380.0
16,5,0.8403119444847107,370.0
17,9,0.8617804646492004,301.0
18,2,0.7575786113739014,390.5
19,7,0.8460031747817993,360.0
20,7,0.8119256496429443,300.0
21,2,0.8690914511680603,380.0
22,2,0.7748578786849976,360.0
23,7,0.823192298412323,331.5
24,4,0.8149272203445435,357.5
