chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.8230831027030945,360.0
1,2,0.7134361863136292,252.0
2,2,0.8066747188568115,381.0
3,2,0.6229847073554993,374.0
4,7,0.5089049339294434,285.0
5,2,0.7716805934906006,340.0
6,10,0.7784044146537781,400.0
7,2,0.7098978161811829,373.0
8,2,0.9143070578575134,
9,2,0.5798732042312622,268.0
10,3,0.7293741703033447,360.0
11,2,0.738753080368042,330.0
12,2,0.7651915550231934,350.0
13,2,0.6493037939071655,370.0
14,4,0.7373664379119873,247.0
15,5,0.5947902202606201,295.0
16,2,0.7104418873786926,361.0
17,2,0.8834729194641113,352.0
18,2,0.7714416980743408,
19,2,0.7668752670288086,
20,3,0.5568937659263611,236.0
21,2,0.922879159450531,
22,3,0.8596999645233154,349.5
23,2,0.5705718994140625,273.5
24,2,0.5387313961982727,220.5
