chain,best_n_clusters,best_silhouette_score,best_Tg
0,3,0.8576303720474243,338.5
1,6,0.7810649871826172,340.0
2,4,0.88492351770401,337.5
3,6,0.8352828621864319,340.0
4,6,0.724053144454956,291.0
5,6,0.8921039700508118,315.5
6,9,0.8161609172821045,268.5
7,8,0.7204818725585938,260.0
8,2,0.842768132686615,380.0
9,7,0.8851505517959595,320.0
10,2,0.8101127743721008,
11,7,0.8141044974327087,340.0
12,3,0.8400681018829346,359.5
13,3,0.8979924917221069,313.0
14,4,0.7577718496322632,350.0
15,4,0.7904676795005798,380.0
16,9,0.831453800201416,300.0
17,2,0.8885403871536255,370.0
18,5,0.7918176054954529,349.0
19,7,0.7730553150177002,315.5
20,6,0.854734480381012,350.0
21,3,0.7188434600830078,380.0
22,8,0.8671883344650269,335.5
23,3,0.8079406023025513,370.0
24,3,0.8530720472335815,380.0
