chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.8848882913589478,
1,2,0.8967380523681641,356.0
2,2,0.7689001560211182,323.5
3,2,0.7959659695625305,330.0
4,4,0.8269582986831665,318.5
5,2,0.6653360724449158,341.0
6,3,0.6613544821739197,310.0
7,3,0.48553264141082764,354.5
8,4,0.8637092113494873,300.0
9,4,0.6836825609207153,330.0
10,3,0.7719104290008545,239.0
11,2,0.8514127731323242,330.0
12,4,0.5662559866905212,340.0
13,2,0.6020351648330688,368.5
14,5,0.6034668684005737,330.0
15,10,0.7970387935638428,302.5
16,2,0.8004716038703918,257.5
17,4,0.8421533107757568,330.0
18,10,0.6257277727127075,215.0
19,5,0.8057734370231628,340.5
20,8,0.7850216627120972,330.0
21,2,0.694477379322052,213.0
22,2,0.6170942783355713,500.0
23,2,0.6251717805862427,220.0
24,2,0.6030609607696533,243.0
