chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.7038775086402893,430.0
1,2,0.7822734117507935,265.0
2,4,0.8443763852119446,400.0
3,2,0.9108328223228455,390.0
4,2,0.8223571181297302,323.0
5,6,0.7806233167648315,350.0
6,2,0.8880241513252258,410.0
7,2,0.5154193639755249,420.0
8,7,0.5980583429336548,282.0
9,4,0.664909303188324,
10,3,0.8662145137786865,389.5
11,3,0.710377037525177,400.0
12,2,0.8398422002792358,371.5
13,7,0.6540682911872864,311.5
14,2,0.8646969199180603,320.0
15,2,0.7475554347038269,430.0
16,7,0.831613302230835,388.5
17,9,0.5296567678451538,359.5
18,5,0.5810478925704956,220.0
19,3,0.8483213186264038,366.0
20,2,0.5765420198440552,420.0
21,3,0.929435670375824,340.0
22,2,0.8879055380821228,313.5
23,2,0.7412924766540527,
24,4,0.4332485496997833,213.0
