temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
200.0,-1.8227533,-0.7827682,1,-1,-1,glassy
200.5,-2.2090843,-0.93205565,1,-1,-1,glassy
201.0,-2.2000582,-1.1435324,1,-1,-1,glassy
201.5,-2.081517,-1.0571384,1,-1,-1,glassy
202.0,-2.0668695,-1.0806919,1,-1,-1,glassy
202.5,-2.457247,-0.66683364,1,-1,-1,glassy
203.0,-2.66236,-0.31896192,1,-1,-1,glassy
203.5,-2.609339,-0.70378417,1,-1,-1,glassy
204.0,-2.6953688,-0.41327542,1,-1,-1,glassy
204.5,-2.7350605,-0.20795009,1,-1,-1,glassy
205.0,-2.8462243,-0.384333,1,-1,-1,glassy
205.5,-2.7884958,-0.38255745,1,-1,-1,glassy
206.0,-2.8852706,-0.10000967,1,-1,-1,glassy
206.5,-2.7802455,0.0077482844,1,-1,0,glassy
207.0,-2.7575877,0.040155765,1,-1,0,glassy
207.5,-2.8423285,-0.025621047,1,-1,-1,glassy
208.0,-2.8501654,-0.2288841,1,-1,-1,glassy
208.5,-2.7860086,-0.19228917,1,-1,-1,glassy
209.0,-2.6875725,0.039100952,1,-1,0,glassy
209.5,-2.419428,-0.20042758,1,-1,-1,glassy
210.0,-2.546128,0.17727226,1,-1,0,glassy
210.5,-2.5967956,0.226252,1,-1,0,glassy
211.0,-2.6243815,0.40092114,1,-1,0,glassy
211.5,-2.2014477,0.43465194,1,-1,0,glassy
212.0,-2.3928795,0.3332578,1,-1,0,glassy
212.5,-2.0149572,0.28049707,1,-1,0,glassy
213.0,-2.0474494,0.60089916,1,-1,0,glassy
213.5,-2.3034213,-0.16442965,1,-1,-1,glassy
214.0,-2.1557057,0.20989397,1,-1,0,glassy
214.5,-1.9192802,0.31189415,1,-1,0,glassy
215.0,-1.8333123,0.5073403,1,-1,0,glassy
215.5,-1.9282749,0.49521437,1,-1,0,glassy
216.0,-1.2988404,0.1989005,1,-1,0,glassy
216.5,-2.0256212,0.14876246,1,-1,0,glassy
217.0,-1.7991488,0.48133114,1,-1,0,glassy
217.5,-1.4701476,0.27091545,1,-1,0,glassy
218.0,-1.4648609,-0.0044015804,1,-1,-1,glassy
218.5,-1.4100802,0.07091923,1,-1,0,glassy
219.0,-1.3526231,-0.15162465,1,-1,-1,glassy
219.5,-1.2259581,0.036938332,1,-1,0,glassy
220.0,-1.8854667,-0.8001758,1,-1,-1,glassy
220.5,-1.5117726,-0.7119739,1,-1,-1,glassy
221.0,-1.4820786,-0.81601685,1,-1,-1,glassy
221.5,-1.3203888,-0.693063,1,-1,-1,glassy
222.0,-1.5573325,-0.87210274,1,-1,-1,glassy
222.5,-1.4343317,-1.0513153,1,-1,-1,glassy
223.0,-1.3998091,-1.0898507,1,-1,-1,glassy
223.5,-1.7077448,-0.9228628,1,-1,-1,glassy
224.0,-1.9871988,-0.69978327,1,-1,-1,glassy
224.5,-1.7272327,-0.85918707,1,-1,-1,glassy
225.0,-1.673178,-0.846199,1,-1,-1,glassy
225.5,-1.1458203,-1.0280578,1,-1,-1,glassy
226.0,-1.5935358,-1.1171987,1,-1,-1,glassy
226.5,-1.5077883,-1.153335,1,-1,-1,glassy
227.0,-0.96543276,0.4939806,1,-1,0,glassy
227.5,-1.2139643,-0.003696392,1,-1,-1,glassy
228.0,-1.30105,-0.357431,1,-1,-1,glassy
228.5,-1.4333647,-0.31059766,1,-1,-1,glassy
229.0,-1.6475335,0.22747028,1,-1,0,glassy
229.5,-1.9760745,0.18295462,1,-1,0,glassy
230.0,-1.4414274,0.5369514,1,-1,0,glassy
230.5,-1.2954693,0.61799634,1,-1,0,glassy
231.0,-1.2320572,0.26720268,1,-1,0,glassy
231.5,-1.680327,0.07470859,1,-1,0,glassy
232.0,-1.4075248,0.52461064,1,-1,0,glassy
232.5,-2.0258155,0.5443968,1,-1,0,glassy
233.0,-1.4760927,1.0473707,1,-1,0,glassy
233.5,-1.2781067,0.90369755,1,-1,0,glassy
234.0,-1.8426739,0.43818322,1,-1,0,glassy
234.5,-1.9994622,0.7009108,1,-1,0,glassy
235.0,-1.9748822,0.48925966,1,-1,0,glassy
235.5,-1.974493,0.8788433,1,-1,0,glassy
236.0,-2.0099776,1.0983703,1,-1,0,glassy
236.5,-2.3430533,0.5071753,1,-1,0,glassy
237.0,-2.075736,-0.514582,1,-1,-1,glassy
237.5,-2.168451,0.95482117,1,-1,0,glassy
238.0,-2.8773928,-0.25908518,1,-1,-1,glassy
238.5,-0.9759216,0.76231575,1,-1,0,glassy
239.0,-2.4815784,0.17388321,1,-1,0,glassy
239.5,-1.9573057,0.75011003,1,-1,0,glassy
240.0,-2.484023,-0.40809542,1,-1,-1,glassy
240.5,-2.097684,-0.8321997,1,-1,-1,glassy
241.0,-2.0213838,-0.87000185,1,-1,-1,glassy
241.5,-2.430444,-0.8458805,1,-1,-1,glassy
242.0,-2.1846535,-0.5477125,1,-1,-1,glassy
242.5,-2.3070605,-0.8816736,1,-1,-1,glassy
243.0,-2.2431462,-0.9074786,1,-1,-1,glassy
243.5,-2.6587043,-0.5499981,1,-1,-1,glassy
244.0,-2.6995783,-0.79835916,1,-1,-1,glassy
244.5,-2.5933726,-0.9745508,1,-1,-1,glassy
245.0,-1.4972926,-0.985689,1,-1,-1,glassy
245.5,-0.8431049,-0.39594787,1,-1,-1,glassy
246.0,-0.8024537,-0.5903402,1,-1,-1,glassy
246.5,-0.6556575,-0.5084718,1,-1,-1,glassy
247.0,-1.8830451,-1.1784123,1,-1,-1,glassy
247.5,-1.144625,-1.0004107,1,-1,-1,glassy
248.0,-1.0344676,-0.79743403,1,-1,-1,glassy
248.5,-0.9626515,-0.94561106,1,-1,-1,glassy
249.0,-1.0631549,-0.9804285,1,-1,-1,glassy
249.5,-0.98057383,-0.15875407,1,-1,-1,glassy
250.0,-1.6308377,-0.35510397,1,-1,-1,glassy
250.5,-2.2125666,0.20865895,1,-1,0,glassy
251.0,-2.2900271,-0.3021291,1,-1,-1,glassy
251.5,-2.1595862,-0.9477413,1,-1,-1,glassy
252.0,-0.8868709,-0.8461899,1,-1,-1,glassy
252.5,-1.9632919,-0.9832403,1,-1,-1,glassy
253.0,-2.473272,-0.11490178,1,-1,-1,glassy
253.5,-1.9461291,0.1403023,1,-1,0,glassy
254.0,-1.1531003,-0.5533014,1,-1,-1,glassy
254.5,-1.4486382,-0.25150266,1,-1,-1,glassy
255.0,-1.1562287,-0.6070236,1,-1,-1,glassy
255.5,-1.1146165,-1.0273551,1,-1,-1,glassy
256.0,-1.0802026,-0.6402884,1,-1,-1,glassy
256.5,-1.3785342,-0.61220145,1,-1,-1,glassy
257.0,-2.2375402,0.4493273,1,-1,0,glassy
257.5,-2.3835504,0.757428,1,-1,0,glassy
258.0,-0.6176841,-0.49190602,1,-1,-1,glassy
258.5,-0.61955184,0.094000325,1,-1,0,glassy
259.0,-1.7719629,-0.11651764,1,-1,-1,glassy
259.5,-1.8909352,-0.13483393,1,-1,-1,glassy
260.0,-1.3201355,-0.22471434,1,-1,-1,glassy
260.5,-0.7116482,-0.22796367,1,-1,-1,glassy
261.0,-0.6158024,-0.27935168,1,-1,-1,glassy
261.5,-0.67201763,0.18150976,1,-1,0,glassy
262.0,-0.54145175,0.2803172,1,-1,0,glassy
