,chain,Tg
0,0.0,120.0
0,1.0,123.0
0,2.0,81.0
0,3.0,51.5
0,4.0,226.0
0,5.0,149.5
0,6.0,100.0
0,7.0,151.0
0,8.0,90.0
0,9.0,153.5
0,10.0,140.0
0,11.0,153.5
0,12.0,241.0
0,13.0,60.0
0,14.0,50.5
0,15.0,131.5
0,16.0,51.0
0,17.0,151.0
0,18.0,143.5
0,19.0,71.0
0,20.0,65.0
0,21.0,100.5
0,22.0,160.0
0,23.0,57.5
0,24.0,130.0
1,mean,118.06
