chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.8735964894294739,380.5
1,7,0.7704098224639893,331.0
2,9,0.7976925373077393,310.0
3,2,0.85400390625,390.0
4,5,0.8621702194213867,310.0
5,8,0.8934566974639893,320.0
6,3,0.8760551810264587,390.0
7,7,0.8431736826896667,310.0
8,4,0.9055089354515076,321.5
9,5,0.9060608744621277,359.0
10,2,0.7833675146102905,390.0
11,4,0.9194386601448059,390.0
12,5,0.7889622449874878,370.0
13,5,0.8036554455757141,322.5
14,5,0.8461019396781921,203.5
15,4,0.8381974101066589,320.0
16,4,0.8269062638282776,350.0
17,2,0.9214645028114319,380.5
18,4,0.8519220352172852,410.0
19,5,0.919562041759491,352.5
20,3,0.765117347240448,410.0
21,5,0.8544289469718933,360.0
22,8,0.8337733149528503,340.0
23,2,0.8428341150283813,314.0
24,2,0.8896141052246094,370.0
