,chain,Tg
0,0.0,309.5
0,1.0,252.0
0,2.0,203.0
0,3.0,280.0
0,4.0,280.5
0,5.0,304.5
0,6.0,300.0
0,7.0,203.0
0,8.0,410.0
0,9.0,320.0
0,10.0,250.0
0,11.0,250.0
0,12.0,323.0
0,13.0,259.5
0,14.0,340.5
0,15.0,322.5
0,16.0,278.0
0,17.0,300.0
0,18.0,215.5
0,19.0,200.5
0,20.0,229.5
0,21.0,290.0
0,22.0,211.0
0,23.0,200.5
0,24.0,243.0
1,mean,271.04
