chain,best_n_clusters,best_silhouette_score,best_Tg
0,8,0.8569478988647461,291.5
1,4,0.7715312838554382,252.5
2,4,0.853560209274292,360.0
3,3,0.6731806993484497,362.0
4,7,0.8023824691772461,370.0
5,9,0.7713573575019836,293.0
6,3,0.8745701313018799,347.0
7,7,0.8448697328567505,319.5
8,3,0.8227945566177368,410.5
9,3,0.8187118768692017,330.0
10,8,0.8538753390312195,281.0
11,7,0.933139979839325,370.0
12,4,0.8391510844230652,358.0
13,4,0.8720334768295288,330.0
14,7,0.7953370213508606,310.0
15,7,0.894252359867096,367.5
16,2,0.9410339593887329,390.0
17,4,0.8920792937278748,370.0
18,4,0.8439985513687134,370.0
19,7,0.8732159733772278,309.5
20,3,0.8697324991226196,368.0
21,2,0.7700611352920532,400.0
22,5,0.8610212206840515,370.0
23,8,0.8519180417060852,340.0
24,5,0.7549464702606201,380.0
