UMAP1,UMAP2,temp
12.898695,-21.542559,200.0
12.514568,-21.965326,200.5
12.961785,-21.789068,201.0
12.726577,-21.866486,201.5
12.108235,-21.610746,202.0
13.243725,-22.068573,202.5
13.423955,-21.826668,203.0
13.50599,-21.749393,203.5
12.729102,-21.608095,204.0
12.289473,-21.770376,204.5
12.989552,-21.388393,205.0
13.192378,-21.608114,205.5
13.5407095,-21.681297,206.0
12.808218,-21.41886,206.5
13.068947,-21.285583,207.0
12.311068,-21.24874,207.5
13.197891,-21.99105,208.0
12.567579,-22.165792,208.5
12.915938,-21.569435,209.0
13.332922,-21.916985,209.5
13.387554,-21.773375,210.0
12.980181,-22.11455,210.5
12.795809,-22.051046,211.0
12.496332,-20.997501,211.5
13.683506,-21.589851,212.0
13.063303,-21.180347,212.5
13.542317,-21.528172,213.0
13.226176,-21.329718,213.5
13.547326,-21.33113,214.0
12.647001,-21.210342,214.5
13.471126,-21.65823,215.0
13.646564,-21.462637,215.5
12.814198,-21.86585,216.0
12.753607,-21.257666,216.5
12.692844,-21.648645,217.0
12.921738,-21.435547,217.5
13.353705,-21.472195,218.0
13.557299,-21.437357,218.5
13.253947,-21.594658,219.0
12.973931,-21.388624,219.5
12.444678,-21.845856,220.0
13.455997,-22.048151,220.5
13.144036,-22.04978,221.0
13.025424,-22.39677,221.5
13.461894,-22.116959,222.0
13.504039,-22.122412,222.5
13.581381,-21.826208,223.0
12.769938,-21.471739,223.5
12.379573,-21.755188,224.0
12.885737,-22.405933,224.5
13.144876,-21.925787,225.0
13.149347,-20.953709,225.5
12.864019,-21.998003,226.0
13.097244,-22.29416,226.5
12.962004,-21.26633,227.0
13.314579,-22.182392,227.5
13.6539545,-21.808533,228.0
13.624907,-21.161615,228.5
13.41365,-21.095709,229.0
13.525632,-21.469685,229.5
13.128303,-21.82518,230.0
13.04996,-22.333548,230.5
13.121545,-20.776003,231.0
13.616275,-21.993814,231.5
12.600872,-22.005049,232.0
12.654666,-21.830051,232.5
