chain,best_n_clusters,best_silhouette_score,best_Tg
0,3,0.6753688454627991,160.0
1,3,0.5891949534416199,67.0
2,2,0.5866873860359192,190.0
3,2,0.9348372220993042,170.0
4,2,0.7324997782707214,200.0
5,3,0.6426636576652527,170.0
6,5,0.572284996509552,100.0
7,2,0.9517561197280884,170.0
8,2,0.640519917011261,200.0
9,4,0.9006630182266235,190.0
10,2,0.9260731339454651,190.0
11,2,0.9453220367431641,159.5
12,3,0.8144226670265198,171.0
13,3,0.8040696978569031,200.0
14,2,0.527524471282959,174.5
15,2,0.7938337326049805,77.5
16,2,0.66561359167099,280.5
17,2,0.7838535904884338,170.0
18,2,0.6233672499656677,180.0
19,3,0.5363765358924866,121.0
20,3,0.6065012812614441,150.5
21,3,0.6367291808128357,100.5
22,2,0.813170850276947,160.0
23,2,0.6000546216964722,160.0
24,2,0.7484780550003052,200.0
