chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.7989181876182556,392.5
1,2,0.8225739002227783,360.0
2,2,0.5924668312072754,410.5
3,2,0.8681955337524414,410.0
4,2,0.8907918334007263,410.0
5,2,0.6824145913124084,399.5
6,3,0.6771470904350281,377.0
7,2,0.6574063897132874,400.0
8,2,0.9585226774215698,400.0
9,3,0.8293483257293701,410.0
10,2,0.6042993664741516,300.5
11,2,0.6854627132415771,319.0
12,5,0.8505421280860901,360.0
13,2,0.5895452499389648,286.5
14,2,0.8366422653198242,410.0
15,2,0.8644277453422546,390.0
16,3,0.8247600793838501,404.0
17,2,0.640159547328949,399.5
18,4,0.9053971171379089,360.5
19,2,0.8525663018226624,420.5
20,3,0.8429245948791504,400.0
21,3,0.846035897731781,400.0
22,8,0.4542974531650543,204.5
23,2,0.7572746872901917,440.0
24,4,0.7537822723388672,346.0
