chain,best_n_clusters,best_silhouette_score,best_Tg
0,3,0.8865946531295776,343.5
1,7,0.876270592212677,310.0
2,7,0.8015592694282532,309.0
3,2,0.7755873203277588,430.0
4,5,0.8558490872383118,320.0
5,5,0.831895649433136,340.0
6,4,0.8763048648834229,380.0
7,4,0.8645519018173218,400.0
8,6,0.769050657749176,353.0
9,2,0.8883499503135681,388.0
10,8,0.8361855745315552,360.0
11,6,0.8681814074516296,280.0
12,4,0.7769898176193237,400.0
13,2,0.7720080018043518,
14,2,0.6525281667709351,380.0
15,5,0.8432550430297852,296.0
16,4,0.8773929476737976,380.0
17,2,0.697759747505188,400.0
18,7,0.8310254216194153,310.5
19,4,0.7786684632301331,368.5
20,4,0.8320702910423279,355.0
21,8,0.8690152168273926,334.0
22,2,0.8256731033325195,400.0
23,3,0.805081307888031,380.0
24,4,0.7136327028274536,350.0
