chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.843195915222168,360.5
1,3,0.9019774198532104,380.5
2,5,0.8921574950218201,380.5
3,5,0.8892945051193237,343.5
4,5,0.8765633702278137,380.5
5,3,0.8631710410118103,411.0
6,5,0.8601933121681213,334.0
7,5,0.8598821759223938,360.0
8,6,0.82265704870224,360.5
9,2,0.778296709060669,410.0
10,2,0.7595508098602295,380.0
11,4,0.9165398478507996,369.0
12,6,0.803941547870636,256.0
13,4,0.8284912705421448,380.0
14,5,0.8338845372200012,360.5
15,5,0.9006891846656799,385.5
16,2,0.827402651309967,410.0
17,3,0.7729805707931519,359.5
18,2,0.8520824909210205,369.0
19,4,0.8671427965164185,389.5
20,3,0.9070777893066406,369.0
21,2,0.7662467956542969,399.5
22,2,0.8288946151733398,360.5
23,2,0.9067045450210571,390.0
24,3,0.9147429466247559,360.5
