,chain,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10
0,16.0,,,,,,,,,239.5
0,17.0,330.5,,,,,,,,
0,17.0,,330.5,,,,,,,
0,17.0,,,330.5,,,,,,
0,17.0,,,,330.5,,,,,
0,17.0,,,,,330.5,,,,
0,17.0,,,,,,283.5,,,
0,17.0,,,,,,,283.5,,
0,17.0,,,,,,,,283.5,
0,17.0,,,,,,,,,283.5
0,18.0,350.5,,,,,,,,
0,18.0,,350.5,,,,,,,
0,18.0,,,300.5,,,,,,
0,18.0,,,,300.5,,,,,
0,18.0,,,,,300.5,,,,
0,18.0,,,,,,300.5,,,
0,18.0,,,,,,,300.5,,
0,18.0,,,,,,,,300.5,
0,18.0,,,,,,,,,300.5
