temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
200.0,-10.572433,14.022965,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
200.5,-10.786145,14.349287,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
201.0,-10.870239,14.088477,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
201.5,-10.770692,14.042791,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
202.0,-10.9124155,14.249214,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
202.5,-10.80954,14.087567,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
203.0,-10.469911,14.138309,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
203.5,-10.865699,14.13956,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
204.0,-10.758931,14.488107,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
204.5,-10.857739,14.268565,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
205.0,-10.489335,14.756502,1,1,1,1,1,1,1,0,0,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
205.5,-10.978408,14.446117,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
206.0,-10.822521,14.528028,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
206.5,-10.642091,14.702945,1,1,1,1,1,1,1,0,0,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
207.0,-10.353732,14.533787,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
207.5,-11.056128,14.410486,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
208.0,-11.104855,14.27499,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
208.5,-10.9180355,14.167516,1,1,1,1,1,1,1,0,4,-2,1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
