temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
217.0,-11.456004,-6.901596,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
217.5,-10.901126,-6.1485844,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
218.0,-11.152798,-5.760148,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
218.5,-11.0406275,-6.239738,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
219.0,-10.998162,-6.0675693,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
219.5,-10.8791685,-6.2900124,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
220.0,-11.14652,-6.019456,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
220.5,-10.968397,-7.1560383,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
221.0,-10.898305,-7.6240354,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
221.5,-10.935234,-7.074366,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
222.0,-10.4837885,-7.337005,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
222.5,-10.879627,-7.9100556,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
