temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
200.0,29.55032,29.334133,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
200.5,29.476717,29.707289,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
201.0,29.617746,29.574778,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
201.5,29.205338,29.371939,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
202.0,28.62073,29.892626,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
202.5,29.225315,29.93858,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
203.0,29.537115,29.63446,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
203.5,29.56086,29.636076,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
204.0,29.535183,29.404806,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
204.5,29.618439,29.505089,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
205.0,29.372282,29.36903,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
205.5,29.242474,29.502188,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
206.0,29.300142,29.752342,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
206.5,29.15954,29.875639,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
207.0,29.078655,29.526052,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
207.5,29.33224,29.52068,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
208.0,29.228188,29.394382,0,2,2,2,2,2,2,2,0,2,2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
