temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
200.0,-18.795198,-17.195412,1,0,3,3,3,1,1,1,0,-2,-2,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
200.5,-12.668077,-17.630095,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
201.0,-12.888602,-17.617512,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
201.5,-12.664474,-17.604492,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
202.0,-12.659223,-17.653814,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
202.5,-12.78355,-17.564548,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
203.0,-12.601303,-17.725632,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
203.5,-12.618673,-17.661306,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
204.0,-12.776088,-17.593485,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
204.5,-12.826154,-17.657187,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
205.0,-12.561345,-17.776129,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
205.5,-12.829983,-17.548296,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
206.0,-12.594846,-17.717583,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
206.5,-12.684379,-17.589947,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
207.0,-12.715737,-17.68909,1,0,1,0,5,5,5,5,6,-2,-2,glassy,glassy,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery,rubbery
