temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
200.0,51.511852,32.559265,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
200.5,51.29663,32.840256,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
201.0,51.212017,33.063755,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
201.5,51.232006,32.668358,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
202.0,51.440475,32.97107,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
202.5,51.262623,32.815044,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
203.0,50.91178,33.163616,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
203.5,51.301384,33.116013,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
204.0,51.365368,32.735466,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
204.5,50.995167,32.539974,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
205.0,51.808838,32.778038,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
205.5,51.59649,33.28261,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
206.0,51.091587,32.39829,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
206.5,51.483418,32.89115,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
207.0,51.135784,32.738487,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
207.5,51.521854,33.15329,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
208.0,51.069607,32.682117,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
208.5,50.925484,32.49747,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
209.0,51.031914,32.590343,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
209.5,51.23496,32.82094,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
210.0,51.343384,33.03189,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
210.5,51.041706,33.080124,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
211.0,50.85017,33.152477,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
211.5,51.367237,33.22486,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
212.0,50.814526,32.71873,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
212.5,51.08432,33.313183,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
213.0,50.98275,33.18513,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
213.5,51.765785,33.07051,1,1,3,1,0,2,2,2,0,5,3,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
