temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
200.0,-54.54391,2.9154334,1,1,0,2,2,2,0,0,9,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
200.5,-54.39661,2.5216541,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
201.0,-54.78956,2.0443518,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
201.5,-54.80145,2.4472828,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
202.0,-54.628704,3.6432743,1,1,0,2,2,2,0,0,9,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
202.5,-54.563408,2.6496923,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
203.0,-54.810772,1.9393649,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
203.5,-54.465775,1.9563017,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
204.0,-54.07761,2.3329723,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
204.5,-54.659897,3.5970163,1,1,0,2,2,2,0,0,9,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery
205.0,-54.383556,2.186533,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
205.5,-54.7421,2.3121433,1,1,0,2,2,2,0,8,6,-6,0,glassy,glassy,glassy,glassy,glassy,glassy,glassy,rubbery,rubbery
