UMAP1,UMAP2,temp
-19.536316,-38.6022,200.0
-19.046244,-39.503567,200.5
-20.140652,-38.63154,201.0
-19.825699,-39.38677,201.5
-20.354338,-39.020237,202.0
-19.388035,-39.496063,202.5
-19.191702,-39.39619,203.0
-19.664705,-38.687054,203.5
-18.89571,-38.96851,204.0
-20.271526,-38.826496,204.5
-20.214369,-38.866646,205.0
-19.529575,-38.697124,205.5
-19.484434,-38.485416,206.0
-19.74471,-38.923397,206.5
-19.343414,-39.68047,207.0
-20.20503,-39.070488,207.5
-20.487564,-38.93028,208.0
-19.964008,-39.136234,208.5
-20.363762,-39.22733,209.0
-20.095036,-39.26397,209.5
-20.112074,-39.12681,210.0
-20.483799,-38.785427,210.5
-18.751795,-39.118423,211.0
-19.54509,-38.521225,211.5
-19.61767,-38.581615,212.0
-19.90628,-38.168198,212.5
-20.609903,-39.07029,213.0
-18.913101,-39.044415,213.5
-19.06307,-38.908363,214.0
-20.4628,-38.805836,214.5
-18.85094,-39.13829,215.0
-20.351334,-38.7582,215.5
-19.538677,-38.83287,216.0
-19.724869,-38.370914,216.5
-19.083971,-38.869762,217.0
-20.182966,-38.549576,217.5
-20.316536,-38.636333,218.0
-19.288141,-39.262436,218.5
-19.025702,-38.907764,219.0
-18.93018,-39.536526,219.5
-19.282549,-39.70905,220.0
-19.176275,-39.79704,220.5
-18.67856,-39.43144,221.0
-18.685013,-38.932564,221.5
-19.308947,-39.640415,222.0
-18.92024,-39.603634,222.5
-19.164188,-39.833843,223.0
-19.224043,-39.246777,223.5
-18.761023,-39.19761,224.0
-19.685823,-38.835438,224.5
-18.808247,-39.197292,225.0
-19.040142,-39.17042,225.5
-18.730621,-38.74981,226.0
-20.020134,-38.725784,226.5
-18.869892,-39.576412,227.0
-19.076292,-39.070053,227.5
-18.684908,-39.1189,228.0
-19.55521,-38.995518,228.5
-19.864523,-38.9024,229.0
-20.097895,-38.999607,229.5
-18.963223,-39.138287,230.0
-19.043858,-39.77719,230.5
-19.249031,-39.700966,231.0
