chain,best_n_clusters,best_silhouette_score,best_Tg
0,10,0.7824350595474243,261.5
1,2,0.861687958240509,390.0
2,5,0.893902599811554,310.5
3,5,0.7655624747276306,310.5
4,7,0.849031388759613,330.0
5,7,0.8716846108436584,370.0
6,9,0.8527364730834961,310.0
7,5,0.8167256712913513,300.0
8,4,0.8756802082061768,350.0
9,3,0.8287278413772583,360.0
10,2,0.8413761854171753,336.0
11,7,0.8120849132537842,336.5
12,2,0.7279900908470154,390.0
13,8,0.8159610033035278,296.5
14,3,0.9049543738365173,310.5
15,2,0.77584308385849,330.0
16,4,0.7695817351341248,370.0
17,5,0.8771252632141113,330.0
18,7,0.7935000061988831,320.0
19,5,0.8767752051353455,330.0
20,5,0.9139111638069153,350.5
21,9,0.8858959674835205,330.0
22,2,0.8248956203460693,340.0
23,4,0.8872650265693665,330.0
24,2,0.914091944694519,359.5
