UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,temp
4.040424,9.111406,12.511006,13.678408,12.091852,1.7077477,-2.879936,5.543746,6.522635,0.5008052,8.387167,5.5966663,4.643844,9.576025,7.909603,200.0
4.11952,8.977909,12.37884,13.704861,12.145273,1.6014947,-2.9319084,5.467018,6.4956937,0.46983203,8.444257,5.7158217,4.5658264,9.585035,7.9775643,200.5
4.028301,9.359811,12.64151,13.512,12.114831,1.7164865,-2.8956742,5.5096064,6.4538755,0.63126874,8.31053,5.5303893,4.7535863,9.559673,7.9258685,201.0
4.0456166,9.306961,12.732089,13.490177,12.231706,1.8063529,-3.0199223,5.6539583,6.5480704,0.48837394,8.235873,5.5802107,4.67761,9.496737,7.9128375,201.5
4.024707,9.276534,12.754143,13.526744,12.167581,1.785055,-2.8972754,5.5421762,6.453144,0.51790255,8.313742,5.54745,4.6796412,9.51969,7.87688,202.0
3.974416,9.1643915,12.737799,13.513348,12.124199,1.7389652,-2.9566407,5.546939,6.466333,0.5053462,8.326064,5.5837727,4.763364,9.55282,7.926075,202.5
3.9374783,8.985592,12.522348,13.624848,12.053715,1.7337894,-3.1217973,5.7533917,6.6990023,0.44176927,8.268349,5.614267,4.844867,9.580253,7.9601126,203.0
4.0495305,9.291274,12.606518,13.553887,12.146251,1.6783727,-2.8668268,5.4662905,6.454675,0.6167071,8.345818,5.5727553,4.673584,9.613899,7.9532833,203.5
4.0990515,9.233943,12.378613,13.652174,12.183064,1.7113128,-3.0310616,5.6353064,6.6673765,0.54169166,8.297811,5.6161666,4.615897,9.556112,7.9362144,204.0
3.992622,9.221677,12.650687,13.45727,12.019331,1.7802825,-3.049265,5.6069303,6.4334397,0.45014018,8.317883,5.570395,4.960666,9.4221325,7.93059,204.5
3.8320673,9.309386,13.225093,13.308018,11.986349,1.7431173,-2.7237668,5.2502913,6.104515,0.6858521,8.352128,5.273013,4.8575115,9.435929,7.697709,205.0
3.880717,9.177047,12.944423,13.286668,11.825734,1.5600942,-2.793393,5.0940037,5.9413505,0.7453384,8.455236,5.316731,4.9523964,9.195341,7.544141,205.5
3.907422,9.249225,13.056084,13.235137,11.814822,1.5550369,-2.8088114,5.111493,6.007673,0.73740065,8.373161,5.1951866,4.9212804,9.228415,7.592939,206.0
4.0375338,9.091674,12.224505,13.743479,12.018593,1.6478416,-2.9627788,5.6059155,6.590632,0.5419386,8.414509,5.7090974,4.775064,9.57666,7.978896,206.5
4.001876,8.886893,12.531859,13.668618,12.010149,1.7353514,-3.0404394,5.753215,6.6070275,0.37017563,8.321491,5.589416,4.763337,9.471391,7.8968825,207.0
4.0128865,9.097524,12.616989,13.679027,12.0821,1.7538048,-2.8033597,5.5666065,6.469909,0.46332058,8.401217,5.6182556,4.670704,9.597515,7.9250574,207.5
4.1363907,9.246024,12.640772,13.450976,12.308062,1.7892826,-3.2071278,5.7441397,6.606674,0.4250093,8.178103,5.629399,4.6001215,9.327644,7.8778853,208.0
4.1491714,9.126234,12.580351,13.559155,12.201561,1.7350352,-3.0929694,5.7302055,6.6392913,0.46362862,8.225633,5.5244493,4.5673137,9.436528,7.902864,208.5
4.009549,9.300347,12.929972,13.426291,12.213224,1.8475713,-2.9768684,5.631558,6.472437,0.47433963,8.226273,5.4987803,4.683517,9.44524,7.8436666,209.0
3.83935,9.2312355,13.073625,13.289742,11.871972,1.6362317,-2.7159123,5.163287,5.9279556,0.7485421,8.434107,5.328703,4.950751,9.207529,7.502905,209.5
3.8107488,9.252985,13.230181,13.2089,11.837464,1.6504786,-2.7792878,5.0961776,5.9561577,0.73063976,8.38222,5.177357,4.985141,9.243401,7.5579963,210.0
3.9309368,9.3488655,13.158619,13.183293,11.953221,1.6638604,-2.8482466,5.2360525,6.04871,0.7240455,8.303178,5.241388,4.893425,9.262238,7.642827,210.5
3.8561783,9.297917,13.24558,13.225019,11.920723,1.6923674,-2.7950482,5.204695,6.063594,0.703171,8.316566,5.190431,4.920947,9.347811,7.671902,211.0
3.9171252,9.333173,13.248499,13.101159,11.897743,1.6686885,-2.7592597,5.1913986,5.8409066,0.7738945,8.3592205,5.2370453,4.977328,9.173322,7.6079473,211.5
3.8311563,9.223651,13.087931,13.22312,11.856356,1.6068279,-2.7389705,5.047947,5.811134,0.80475044,8.473843,5.296532,5.018365,9.161305,7.4912333,212.0
3.9064608,9.302056,13.176417,13.205217,11.917475,1.6958166,-2.8480425,5.2804217,6.0587516,0.7024524,8.283971,5.216786,4.951119,9.269472,7.652899,212.5
4.029236,8.91307,12.581668,13.564124,12.093627,1.7260895,-3.1412523,5.6951747,6.558883,0.32503122,8.313023,5.6637774,4.781798,9.442851,7.9566164,213.0
4.201392,9.213358,12.451639,13.39985,12.046927,1.7078012,-3.2719114,5.7933445,6.5756726,0.44004282,8.198045,5.49635,4.9062343,9.322147,8.030174,213.5
4.0357404,9.058947,12.63445,13.460055,12.019413,1.6789913,-3.0981953,5.6409163,6.4810905,0.47370315,8.283752,5.5369873,4.927278,9.494756,8.022093,214.0
4.526236,9.337239,12.047575,13.214321,12.186088,1.4669906,-3.620708,5.692593,6.4935,0.49891934,8.168924,5.654058,4.9031205,9.127612,8.216344,214.5
3.9062257,9.1374445,12.926434,13.247433,11.859103,1.5208315,-2.9150133,5.1268253,5.989713,0.82566327,8.383954,5.282466,4.9953365,9.190134,7.5513425,215.0
3.8327343,9.198805,13.181785,13.18318,11.871093,1.6482288,-2.7720845,5.10882,5.862183,0.7330769,8.439851,5.2622337,5.0326576,9.197052,7.540853,215.5
4.1788673,9.165022,12.322333,13.6314535,12.097055,1.6843208,-2.9563086,5.480562,6.4639087,0.43575755,8.455131,5.6828485,4.7048807,9.525118,8.033726,216.0
4.1035852,8.93003,12.238421,13.613322,11.988961,1.5364794,-3.1646419,5.5832896,6.533699,0.51950884,8.336218,5.6280355,4.776695,9.357279,7.887205,216.5
3.8349757,9.274983,13.134233,13.212409,11.82718,1.5871145,-2.7064438,5.031003,5.806731,0.82799536,8.460127,5.2314906,5.0094337,9.141552,7.4622164,217.0
3.9579544,9.299583,13.070577,13.141663,11.810856,1.576842,-2.8850334,5.1539884,5.901493,0.7688432,8.346801,5.166964,4.9836397,9.075761,7.5665007,217.5
