chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.9433000683784485,355.0
1,3,0.8952000737190247,313.5
2,6,0.8571342825889587,333.5
3,5,0.9093727469444275,323.5
4,3,0.8775549530982971,360.0
5,7,0.9325124025344849,340.0
6,4,0.8971065282821655,350.0
7,2,0.8153605461120605,410.0
8,5,0.8291950225830078,329.5
9,2,0.9304606318473816,350.0
10,8,0.7492069602012634,330.0
11,7,0.8638739585876465,231.0
12,2,0.8902069926261902,
13,3,0.8060339093208313,470.0
14,2,0.903904139995575,390.0
15,7,0.9023275971412659,350.5
16,3,0.8086789846420288,362.0
17,7,0.914314329624176,350.0
18,2,0.8645446300506592,390.0
19,4,0.8722821474075317,400.0
20,2,0.8536467552185059,350.5
21,6,0.9115905165672302,340.0
22,5,0.9065172672271729,370.0
23,5,0.9081047177314758,330.0
24,3,0.7999013662338257,390.0
