,chain,Tg
0,0.0,370.0
0,1.0,370.0
0,2.0,330.5
0,3.0,358.0
0,4.0,341.0
0,5.0,313.5
0,6.0,303.5
0,7.0,250.0
0,8.0,359.5
0,9.0,340.5
0,10.0,340.5
0,11.0,303.0
0,12.0,320.0
0,13.0,370.0
0,14.0,350.0
0,15.0,340.5
0,16.0,330.0
0,17.0,286.5
0,18.0,341.0
0,19.0,340.5
0,20.0,320.5
0,21.0,318.5
0,22.0,360.0
0,23.0,292.5
0,24.0,277.5
1,mean,329.1
